State,County,Total_Population,Pop_Density,Land_Area,Total_Households,Low_Income(<50000),Average_Income(50k-100k),High_Income(100k+),White_only,Black_only,Native_American_only,Asian_only,Pacific_Islander_only,Other_Race_only,Mixed_Race,Non-Hispanic,Hispanic,Total_Deaths,Total_Cases,People_of_Color,POC%,H%,LI%,HI%,High_High-Income,High_Low-Income,Pop_density_size,Hispanic_Representation
Alabama,Autauga,55200,57.70059425,956.6625911,21115,9037,6786,5292,42437,10565,159,568,32,409,1030,53672,1528,4754,298320,12763,23.1,2.768115942,42.8,25.1,Yes,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Baldwin,208107,81.33726126,2558.569059,78622,34736,24835,19051,179526,19764,1522,1680,9,2034,3572,198754,9353,9437,896277,28581,13.7,4.494322632,44.2,24.2,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Barbour,25782,18.10178351,1424.279546,9186,5977,2123,1086,12216,12266,72,96,1,778,353,24676,1106,1409,148813,13566,52.6,4.289814599,65.1,11.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Bibb,22527,22.48769995,1001.747624,6840,3669,2141,1030,17268,5018,8,37,0,9,187,21980,547,1844,116785,5259,23.3,2.428197274,53.6,15.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Blount,57645,55.54713168,1037.767356,20600,10525,6758,3317,55054,862,141,198,18,437,935,52384,5261,2764,268426,2591,4.5,9.126550438,51.1,16.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Bullock,10352,10.32805846,1002.318107,3609,2319,835,455,2276,7893,122,56,0,5,0,10301,51,2749,104898,8076,78,0.492658423,64.3,12.6,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Butler,20025,16.01746258,1250.19802,6708,4154,1736,818,10414,9055,2,231,0,0,323,19958,67,7200,174907,9611,48,0.334581773,61.9,12.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Calhoun,115098,118.039361,975.0815239,45033,24176,13563,7294,85558,23676,353,1065,9,1701,2736,110895,4203,8028,574095,29540,25.7,3.65167075,53.7,16.2,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Chambers,33826,35.23285339,960.0698424,13516,8157,3778,1581,19483,13319,97,405,0,175,347,33058,768,8620,225625,14343,42.4,2.270442855,60.4,11.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Cherokee,25853,29.02193428,890.8089913,10606,6101,3124,1381,23997,1267,236,55,0,90,208,25455,398,2343,95865,1856,7.2,1.539473175,57.5,13,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Chilton,43930,39.39789344,1115.034236,16751,9092,4966,2693,36599,4148,123,190,0,1858,1012,40514,3416,3767,239062,7331,16.7,7.776007284,54.3,16.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Choctaw,13075,8.89407051,1470.080542,5350,3306,1246,798,7420,5590,9,13,0,8,35,13002,73,2480,64720,5655,43.3,0.5583174,61.8,14.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Clarke,24387,12.23607781,1993.040611,9358,5867,2136,1355,12935,11173,25,123,0,0,131,24339,48,2467,180783,11452,47,0.196826178,62.7,14.5,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Clay,13378,13.76366955,971.9791621,5236,3134,1324,778,11106,1977,155,18,0,26,96,12963,415,1706,88115,2272,17,3.102107938,59.9,14.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Cleburne,14938,16.57198986,901.4005033,5726,3349,1571,806,14068,393,39,3,0,126,309,14576,362,1044,63216,870,5.8,2.423349846,58.5,14.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Coffee,51288,46.93608145,1092.720108,19789,9419,6004,4366,38923,8829,617,666,0,644,1609,47739,3549,1364,243302,12365,24.1,6.919747309,47.6,22.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Colbert,54495,57.12697325,953.9276614,21799,11300,7166,3333,43288,8615,367,267,29,723,1206,53146,1349,4262,302144,11207,20.6,2.475456464,51.8,15.3,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Conecuh,12514,9.145822397,1368.274985,4574,3155,1126,293,6369,5971,56,18,0,2,98,12409,105,1923,86494,6145,49.1,0.839060253,69,6.4,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Coosa,10855,10.36242511,1047.534711,4103,2573,1037,493,7133,3713,9,0,0,0,0,10805,50,533,32706,3722,34.3,0.460617227,62.7,12,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Covington,37351,22.52031739,1658.546785,15008,8591,4333,2084,31624,4826,58,159,13,70,601,36747,604,4336,231504,5727,15.3,1.617091912,57.2,13.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Crenshaw,13865,14.14981942,979.871162,5025,2969,1358,698,9938,3198,109,188,0,146,286,13590,275,3652,84535,3927,28.3,1.983411468,59.1,13.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Cullman,82313,69.61213262,1182.451922,30730,17520,8602,4608,78392,998,348,334,3,793,1445,78770,3543,3364,372740,3921,4.8,4.304301872,57,15,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Dale,49255,54.5458025,903.0025729,18670,10071,5593,3006,35889,9749,377,633,4,947,1656,46185,3070,6137,235029,13366,27.1,6.232869759,53.9,16.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Dallas,40029,25.41325351,1575.122996,16336,10968,3631,1737,11257,28210,10,224,23,25,280,39617,412,4303,300535,28772,71.9,1.029253791,67.1,10.6,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,De Kalb,71200,56.93376381,1250.576024,26132,15644,7220,3268,60972,1004,934,140,621,5899,1630,60980,10220,3784,469842,10228,14.4,14.35393258,59.9,12.5,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Elmore,81212,81.59026508,995.3638454,29143,12290,9703,7150,60824,17402,209,392,0,774,1611,78865,2347,8149,455244,20388,25.1,2.889967,42.2,24.5,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Escambia,37328,24.53853735,1521.199062,13428,8862,3128,1438,23095,11920,1437,135,72,232,437,36490,838,3949,243653,14233,38.1,2.244963566,66,10.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Etowah,102939,119.5347743,861.1636287,38777,21331,11572,5874,82710,16212,751,739,66,751,1710,99059,3880,7797,602011,20229,19.7,3.769222549,55,15.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Fayette,16585,16.4182393,1010.157039,6947,4240,2024,683,14095,1978,0,108,6,0,398,16300,285,1487,76768,2490,15,1.718420259,61,9.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Franklin,31542,30.91774014,1020.190993,11210,6712,3414,1084,26467,1388,488,119,0,2767,313,26209,5333,4757,320074,5075,16.1,16.90761524,59.9,9.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Geneva,26491,28.65332396,924.5349696,10479,6459,2845,1175,22871,2529,210,109,4,243,525,25464,1027,769,106934,3620,13.7,3.876788343,61.6,11.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Greene,8426,8.091958346,1041.280694,2955,2224,577,154,1445,6713,48,0,0,0,220,8283,143,2580,58090,6981,82.9,1.697127937,75.3,5.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Hale,14887,14.36422766,1036.394044,5658,3656,1370,632,5898,8748,29,39,0,101,72,14757,130,5072,117794,8989,60.4,0.873245113,64.6,11.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Henry,17124,18.94147727,904.0477551,6669,3399,2223,1047,12179,4749,4,0,0,37,155,16676,448,929,88246,4945,28.9,2.616211166,51,15.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Houston,104352,111.8234122,933.1856175,39253,21137,10995,7121,72387,28078,305,873,18,522,2169,100915,3437,4173,493037,31965,30.6,3.29365992,53.8,18.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Jackson,52094,30.02721672,1734.89273,20626,12579,5591,2456,47412,1799,615,215,77,552,1424,50589,1505,2199,289973,4682,9,2.889008331,61,11.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Jefferson,659892,368.9321307,1788.654186,260924,126091,74533,60300,342591,281702,1564,10250,215,12398,11172,634844,25048,60762,3353540,317301,48.1,3.795772642,48.3,23.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Lamar,13933,14.31368913,973.4038423,5974,3676,1510,788,12187,1558,0,0,0,119,69,13715,218,583,64343,1746,12.5,1.564630733,61.5,13.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Lauderdale,92585,86.12057551,1075.062486,38514,20628,11454,6432,80561,9364,417,612,61,179,1391,90173,2412,5291,341648,12024,13,2.605173624,53.6,16.7,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Lawrence,33171,29.84220416,1111.546581,12811,7129,3488,2194,25942,3627,1878,44,24,5,1651,32464,707,2897,112096,7229,21.8,2.13137982,55.6,17.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Lee,159287,162.9135405,977.7394776,59373,30629,15963,12781,111986,36675,226,6577,18,861,2944,153422,5865,11535,882277,47301,29.7,3.68203306,51.6,21.5,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Limestone,93052,103.2580233,901.1599977,32126,14328,9929,7869,75143,12468,853,1174,24,1662,1728,87573,5479,3738,385784,17909,19.2,5.888105575,44.6,24.5,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Lowndes,10236,8.882139873,1152.424995,4180,2857,832,491,2546,7601,13,0,0,0,76,10166,70,5098,123750,7690,75.1,0.683860883,68.3,11.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Macon,19054,19.45178649,979.5501305,7637,5109,1627,901,3025,15740,63,50,0,107,69,18726,328,3046,84496,16029,84.1,1.721423323,66.9,11.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Madison,357560,277.1697129,1290.039941,145256,59228,41460,44568,243835,86012,1975,9073,324,4500,11841,340266,17294,12481,1320878,113725,31.8,4.836670769,40.8,30.7,Yes,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Marengo,19538,12.4275418,1572.153231,7768,5071,1692,1005,8855,10518,51,0,0,58,56,19423,115,3518,140080,10683,54.7,0.588596581,65.3,12.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Marion,29965,25.08196147,1194.68328,12212,7815,2891,1506,27886,1097,122,49,0,300,511,29213,752,5201,157590,2079,6.9,2.509594527,64,12.3,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Marshall,95145,104.4817481,910.63752,34896,19677,9398,5821,87887,2456,389,570,46,2096,1701,82184,12961,7296,715990,7258,7.6,13.62236586,56.4,16.7,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Mobile,414659,209.5844026,1978.482153,155831,82496,44945,28390,243658,147434,2915,8117,62,5004,7469,402686,11973,52011,2324079,171001,41.2,2.887432806,52.9,18.2,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Monroe,21512,13.03243742,1650.650551,8149,5416,1692,1041,11814,8927,346,120,0,24,281,21210,302,1379,98371,9698,45.1,1.403867609,66.5,12.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Montgomery,226941,179.5612563,1263.863958,89835,46535,25226,18074,82862,130866,414,6104,56,2522,4117,219192,7749,32089,1551494,144079,63.5,3.414543868,51.8,20.1,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Morgan,119122,127.7073229,932.7734485,45646,22909,14442,8295,95966,15228,740,775,48,4054,2311,109431,9691,4712,622421,23156,19.4,8.135357029,50.2,18.2,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Perry,9486,8.190346188,1158.192802,3079,2518,350,211,2838,6588,6,21,0,33,0,9397,89,810,88879,6648,70.1,0.938224752,81.8,6.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Pickens,20298,14.31038266,1418.410708,7530,4587,1898,1045,11362,8367,25,13,8,262,261,19366,932,2509,121833,8936,44,4.591585378,60.9,13.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Pike,33403,30.88338486,1081.584812,11547,7427,2511,1609,18960,12697,209,715,3,23,796,33140,263,1749,193852,14443,43.2,0.787354429,64.3,13.9,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Randolph,22574,24.16135675,934.3018373,8643,4983,2579,1081,17443,4547,51,68,51,84,330,21909,665,2833,114685,5131,22.7,2.945866927,57.7,12.5,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Russell,58213,56.41560924,1031.859813,22740,13140,6741,2859,29256,24957,165,518,72,840,2405,55093,3120,362,284726,28957,49.7,5.359627575,57.8,12.6,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,St. Clair,87306,85.89674088,1016.406433,32172,14467,11438,6267,76224,8252,315,737,8,689,1081,85217,2089,5380,399684,11082,12.7,2.392733604,45,19.5,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Shelby,211261,167.1379129,1263.992091,78328,25323,24813,28192,169598,25455,468,4249,47,7515,3929,199136,12125,9774,1009678,41663,19.7,5.739346117,32.3,36,Yes,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Sumter,12985,8.927071489,1454.564357,5047,3714,982,351,3201,9346,8,338,0,59,33,12972,13,3566,84733,9784,75.3,0.100115518,73.6,7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Talladega,80565,67.94389053,1185.757827,31407,18345,9089,3973,51720,26010,345,470,28,678,1314,78747,1818,4788,349729,28845,35.8,2.256563024,58.4,12.7,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Tallapoosa,40636,35.23951871,1153.137202,16448,9051,4934,2463,28251,11145,130,155,0,555,400,39682,954,17358,225654,12385,30.5,2.347672015,55,15,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Tuscaloosa,206213,97.00991988,2125.689829,72379,34442,22461,15476,132877,65260,393,3302,73,1983,2325,198776,7437,19052,1341186,73336,35.6,3.60646516,47.6,21.4,No,Yes,Medium,Hispanics Not Proportionatley Represented
